     x        u       v
     0.34800000     0.62703287     0.62120839
     0.34900000     0.62633052     0.62051497
     0.35000000     0.62562512     0.61981851
     0.35100000     0.62491670     0.61911902
     0.35200000     0.62420529     0.61841655
     0.35300000     0.62349092     0.61771111
     0.35400000     0.62277362     0.61700274
     0.35500000     0.62205341     0.61629148
     0.35600000     0.62133034     0.61557734
     0.35700000     0.62060442     0.61486035
     0.35800000     0.61987568     0.61414055
     0.35900000     0.61914416     0.61341797
     0.36000000     0.61840988     0.61269262
     0.36100000     0.61767287     0.61196454
     0.36200000     0.61693315     0.61123376
     0.36300000     0.61619075     0.61050030
     0.36400000     0.61544570     0.60976418
     0.36500000     0.61469803     0.60902544
     0.36600000     0.61394775     0.60828410
     0.36700000     0.61319491     0.60754019
     0.36800000     0.61243951     0.60679373
     0.36900000     0.61168159     0.60604475
     0.37000000     0.61092118     0.60529327
     0.37100000     0.61015829     0.60453932
     0.37200000     0.60939296     0.60378292
     0.37300000     0.60862520     0.60302410
     0.37400000     0.60785505     0.60226288
     0.37500000     0.60708251     0.60149928
     0.37600000     0.60630763     0.60073333
     0.37700000     0.60553042     0.59996505
     0.37800000     0.60475090     0.59919447
     0.37900000     0.60396910     0.59842160
     0.38000000     0.60318504     0.59764648
     0.38100000     0.60239874     0.59686912
     0.38200000     0.60161023     0.59608954
     0.38300000     0.60081953     0.59530777
     0.38400000     0.60002665     0.59452383
     0.38500000     0.59923163     0.59373774
     0.38600000     0.59843448     0.59294952
     0.38700000     0.59763522     0.59215920
     0.38800000     0.59683387     0.59136679
     0.38900000     0.59603046     0.59057231
     0.39000000     0.59522501     0.58977579
     0.39100000     0.59441753     0.58897725
     0.39200000     0.59360805     0.58817670
     0.39300000     0.59279658     0.58737417
     0.39400000     0.59198315     0.58656967
     0.39500000     0.59116777     0.58576323
     0.39600000     0.59035047     0.58495486
     0.39700000     0.58953126     0.58414459
     0.39800000     0.58871017     0.58333243
     0.39900000     0.58788720     0.58251840
     0.40000000     0.58706239     0.58170252
     0.40100000     0.58623575     0.58088481
     0.40200000     0.58540729     0.58006529
     0.40300000     0.58457703     0.57924397
     0.40400000     0.58374500     0.57842087
     0.40500000     0.58291121     0.57759601
     0.40600000     0.58207568     0.57676941
     0.40700000     0.58123842     0.57594109
     0.40800000     0.58039945     0.57511106
     0.40900000     0.57955880     0.57427934
     0.41000000     0.57871647     0.57344594
     0.41100000     0.57787248     0.57261088
     0.41200000     0.57702685     0.57177419
     0.41300000     0.57617960     0.57093587
     0.41400000     0.57533073     0.57009594
     0.41500000     0.57448028     0.56925442
     0.41600000     0.57362825     0.56841133
     0.41700000     0.57277466     0.56756667
     0.41800000     0.57191952     0.56672047
     0.41900000     0.57106286     0.56587274
     0.42000000     0.57020468     0.56502349
     0.42100000     0.56934500     0.56417275
     0.42200000     0.56848383     0.56332051
     0.42300000     0.56762120     0.56246681
     0.42400000     0.56675711     0.56161166
     0.42500000     0.56589158     0.56075506
     0.42600000     0.56502462     0.55989704
     0.42700000     0.56415625     0.55903760
     0.42800000     0.56328648     0.55817677
     0.42900000     0.56241533     0.55731455
     0.43000000     0.56154281     0.55645096
     0.43100000     0.56066893     0.55558602
     0.43200000     0.55979371     0.55471973
     0.43300000     0.55891715     0.55385211
     0.43400000     0.55803928     0.55298318
     0.43500000     0.55716011     0.55211294
     0.43600000     0.55627965     0.55124141
     0.43700000     0.55539791     0.55036860
     0.43800000     0.55451490     0.54949453
     0.43900000     0.55363064     0.54861920
     0.44000000     0.55274514     0.54774264
     0.44100000     0.55185841     0.54686484
     0.44200000     0.55097047     0.54598583
     0.44300000     0.55008133     0.54510562
     0.44400000     0.54919099     0.54422422
     0.44500000     0.54829947     0.54334164
     0.44600000     0.54740679     0.54245789
     0.44700000     0.54651295     0.54157298
     0.44800000     0.54561796     0.54068693
     0.44900000     0.54472184     0.53979974
     0.45000000     0.54382460     0.53891143
     0.45100000     0.54292625     0.53802202
     0.45200000     0.54202680     0.53713150
     0.45300000     0.54112626     0.53623989
     0.45400000     0.54022464     0.53534721
     0.45500000     0.53932195     0.53445345
     0.45600000     0.53841821     0.53355864
     0.45700000     0.53751342     0.53266279
     0.45800000     0.53660759     0.53176590
     0.45900000     0.53570074     0.53086798
     0.46000000     0.53479288     0.52996905
     0.46100000     0.53388401     0.52906911
     0.46200000     0.53297414     0.52816818
     0.46300000     0.53206329     0.52726626
     0.46400000     0.53115146     0.52636337
     0.46500000     0.53023867     0.52545951
     0.46600000     0.52932492     0.52455469
     0.46700000     0.52841023     0.52364893
     0.46800000     0.52749459     0.52274223
     0.46900000     0.52657803     0.52183461
     0.47000000     0.52566055     0.52092606
     0.47100000     0.52474216     0.52001661
     0.47200000     0.52382288     0.51910625
     0.47300000     0.52290270     0.51819500
     0.47400000     0.52198163     0.51728287
     0.47500000     0.52105969     0.51636987
     0.47600000     0.52013689     0.51545600
     0.47700000     0.51921323     0.51454128
     0.47800000     0.51828873     0.51362570
     0.47900000     0.51736338     0.51270929
     0.48000000     0.51643720     0.51179204
     0.48100000     0.51551020     0.51087398
     0.48200000     0.51458239     0.50995510
     0.48300000     0.51365376     0.50903541
     0.48400000     0.51272434     0.50811492
     0.48500000     0.51179413     0.50719364
     0.48600000     0.51086314     0.50627158
     0.48700000     0.50993137     0.50534874
     0.48800000     0.50899883     0.50442514
     0.48900000     0.50806553     0.50350078
     0.49000000     0.50713148     0.50257566
     0.49100000     0.50619669     0.50164980
     0.49200000     0.50526116     0.50072321
     0.49300000     0.50432490     0.49979588
     0.49400000     0.50338792     0.49886783
     0.49500000     0.50245022     0.49793906
     0.49600000     0.50151181     0.49700959
     0.49700000     0.50057270     0.49607942
     0.49800000     0.49963290     0.49514855
     0.49900000     0.49869241     0.49421699
     0.50000000     0.49775124     0.49328475
     0.50100000     0.49680940     0.49235184
     0.50200000     0.49586688     0.49141826
     0.50300000     0.49492371     0.49048403
     0.50400000     0.49397989     0.48954913
     0.50500000     0.49303541     0.48861359
     0.50600000     0.49209030     0.48767741
     0.50700000     0.49114455     0.48674060
     0.50800000     0.49019817     0.48580315
     0.50900000     0.48925118     0.48486509
     0.51000000     0.48830356     0.48392641
     0.51100000     0.48735534     0.48298712
     0.51200000     0.48640651     0.48204722
     0.51300000     0.48545708     0.48110673
     0.51400000     0.48450707     0.48016565
